Product_name,Product_url,Product_stock,Product_price,Product_skus,Product_last_sync
THE ROGER Advantage,https://www.on-running.com/en-ch/products/the-roger-advantage-48adv/mens/white-chambray-shoes-48.98107,3,190.0,"48.99452,48.99454,48.99456,48.99457,48.99147,48.98342,48.98341,48.98338,48.98106,48.98103,48.98104,48.98107",2023-08-09T06:21:41.310Z
Cloud 5,https://www.on-running.com/en-ch/products/cloud-5-59/mens/midnight-navy-shoes-59.98167,3,190.0,"59.98909,59.98919,59.98986,59.98916,59.98773,59.98899,59.98905,59.98774,59.98904,59.98901,59.98882,59.98883,59.98886,59.98559,59.98372,59.98376,59.98375,59.98373,59.98374,59.98371,59.98367,59.98364,59.98362,59.98368,59.98369,59.98154,59.98156,59.98167,59.98158,59.98166,59.98153,59.98157,59.98163,59.98162",2023-08-09T06:21:34.278Z
Cloud Play,https://www.on-running.com/en-ch/products/cloud-play-3KD1143/unisex/all-black-shoes-3KD11430485,3,120.0,"3KD11430692,3KD11431209,3KD11431460,3KD11431210,3KD11431337,3KD11430485",2023-08-09T06:21:42.128Z
Logo Sock 3-Pack,https://www.on-running.com/en-ch/products/logo-sock-3-pack-399/unisex/white-accessories-399.01718,3,30.0,"399.01722,399.01719,399.01721,399.01718",2023-08-09T06:21:48.859Z
Cloudstratus 3,https://www.on-running.com/en-ch/products/cloudstratus-3-3md3011/mens/undyed-white-sand-shoes-3MD30111148,3,240.0,"3MD30111234,3WD30121148,3WD30121505,3WD30121234,3MD30111197,3MD30111148,3MD30111504,3WD30121197",2023-08-09T06:21:39.707Z
Ultra Vest 10L,https://www.on-running.com/en-ch/products/ultra-vest-10l-2ud3002/unisex/undyed-white-accessories-2UD30020864,2,210.0,2UD30020864,2023-08-09T06:21:45.625Z
Ultra Vest 5L,https://www.on-running.com/en-ch/products/ultra-vest-5l-2ud3003/unisex/undyed-white-accessories-2UD30030864,2,190.0,2UD30030864,2023-08-09T06:21:45.745Z
On Cap,https://www.on-running.com/en-ch/products/on-cap-337/unisex/black-accessories-337.01405,3,50.0,"337.01405,337.01407",2023-08-09T06:21:45.066Z
Movement Crew,https://www.on-running.com/en-ch/products/movement-crew-1wd3014/womens/lavender-apparel-1WD30141276,2,150.0,"1WD30141276,1WD30140553",2023-08-09T06:21:49.329Z
Performance-T,https://www.on-running.com/en-ch/products/performance-t-102/mens/zinc-shadow-apparel-102.01301,2,100.0,"102.00289,202.00237,102.00417,102.01298,102.01299,202.01304,102.01301,102.01302,202.01306,202.01432,202.01307",2023-08-09T06:21:52.716Z
Performance Bra,https://www.on-running.com/en-ch/products/performance-bra-258/womens/stellar-black-apparel-258.01296,3,95.0,"258.00728,258.01297,258.01296",2023-08-09T06:21:45.408Z
Sweat Pants,https://www.on-running.com/en-ch/products/sweat-pants-146/womens/lavender-apparel-246.01347,2,140.0,"146.00677,246.00678,146.01083,246.01347,146.01444",2023-08-09T06:21:49.855Z
Movement Bra,https://www.on-running.com/en-ch/products/movement-bra-1wd3013/womens/black-apparel-1WD30130553,2,80.0,"1WD30130553,1WD30131276",2023-08-09T06:21:48.951Z
Climate Shirt,https://www.on-running.com/en-ch/products/climate-shirt-163/womens/grape-apparel-263.01649,2,140.0,"163.00470,163.00469,263.00471,263.01034,163.01324,263.01325,263.01649,163.01323,163.01648",2023-08-09T06:21:43.179Z
